Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type,Roast Type,Size,Unit Price,Sales
QEV-37451-860,9/5/19,17670-51384-MA,R-M-1,2,,,,,,,,
QEV-37451-860,9/5/19,17670-51384-MA,E-M-0.5,5,,,,,,,,
FAA-43335-268,6/17/21,21125-22134-PX,A-L-1,1,,,,,,,,
KAC-83089-793,7/15/21,23806-46781-OU,E-M-1,2,,,,,,,,
KAC-83089-793,7/15/21,23806-46781-OU,R-L-2.5,2,,,,,,,,
CVP-18956-553,8/4/21,86561-91660-RB,L-D-1,3,,,,,,,,
IPP-31994-879,1/21/22,65223-29612-CB,E-D-0.5,3,,,,,,,,
SNZ-65340-705,5/20/22,21134-81676-FR,L-L-0.2,1,,,,,,,,
EZT-46571-659,1/2/19,03396-68805-ZC,R-M-0.5,3,,,,,,,,
NWQ-70061-912,9/5/19,61021-27840-ZN,R-M-0.5,1,,,,,,,,
BKK-47233-845,3/8/21,76239-90137-UQ,A-D-1,4,,,,,,,,
VQR-01002-970,10/28/20,49315-21985-BB,E-L-2.5,5,,,,,,,,
SZW-48378-399,7/2/22,34136-36674-OM,R-M-1,5,,,,,,,,
ITA-87418-783,5/22/20,39396-12890-PE,R-D-2.5,2,,,,,,,,
GNZ-46006-527,4/5/22,95875-73336-RG,L-D-0.2,3,,,,,,,,
FYQ-78248-319,6/7/22,25473-43727-BY,R-M-2.5,5,,,,,,,,
VAU-44387-624,3/20/19,99643-51048-IQ,A-M-0.2,6,,,,,,,,
RDW-33155-159,10/19/19,62173-15287-CU,A-L-1,6,,,,,,,,
TDZ-59011-211,6/13/19,57611-05522-ST,R-D-2.5,4,,,,,,,,
IDU-25793-399,12/4/20,76664-37050-DT,A-M-0.2,5,,,,,,,,
IDU-25793-399,12/4/20,76664-37050-DT,E-D-0.2,4,,,,,,,,
NUO-20013-488,12/4/20,03090-88267-BQ,A-D-0.2,6,,,,,,,,
UQU-65630-479,1/22/21,37651-47492-NC,R-M-2.5,4,,,,,,,,
FEO-11834-332,2/11/22,95399-57205-HI,A-D-0.2,4,,,,,,,,
TKY-71558-096,9/15/21,24010-66714-HW,A-M-1,1,,,,,,,,
OXY-65322-253,10/24/20,07591-92789-UA,E-M-0.2,3,,,,,,,,
EVP-43500-491,2/20/19,49231-44455-IC,A-M-0.5,4,,,,,,,,
WAG-26945-689,10/8/19,50124-88608-EO,A-M-0.2,5,,,,,,,,
CHE-78995-767,8/2/22,00888-74814-UZ,A-D-0.5,3,,,,,,,,
RYZ-14633-602,2/20/19,14158-30713-OB,A-D-1,4,,,,,,,,
WOQ-36015-429,9/25/21,51427-89175-QJ,L-M-0.2,5,,,,,,,,
WOQ-36015-429,9/25/21,51427-89175-QJ,A-D-0.5,6,,,,,,,,
WOQ-36015-429,9/25/21,51427-89175-QJ,L-M-0.5,6,,,,,,,,
